portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,1587418,GRT-EUR,BUY,2021-02-23T14:38:17.229Z,20,GRT,1.35,0.135,-27.135,EUR
default,1587737,GRT-EUR,BUY,2021-02-23T14:43:41.413Z,20,GRT,1.33,0.133,-26.733,EUR
default,1588263,GRT-EUR,BUY,2021-02-23T14:51:18.032Z,20,GRT,1.3,0.13,-26.13,EUR
default,1588613,GRT-EUR,SELL,2021-02-23T14:56:29.716Z,20,GRT,1.36,0.136,27.064,EUR
default,1589033,GRT-EUR,SELL,2021-02-23T15:04:45.391Z,20,GRT,1.39,0.139,27.661,EUR
default,1589165,GRT-EUR,SELL,2021-02-23T15:06:45.527Z,20,GRT,1.4,0.14,27.86,EUR
default,1592570,GRT-EUR,BUY,2021-02-23T17:11:41.889Z,20,GRT,1.3292,0.13292,-26.71692,EUR
default,1593671,GRT-EUR,BUY,2021-02-23T18:14:15.339Z,19.12,GRT,1.32,0.126192,-25.364592,EUR
default,1593673,GRT-EUR,BUY,2021-02-23T18:14:17.975Z,0.88,GRT,1.32,0.005808,-1.167408,EUR
default,1594338,GRT-EUR,BUY,2021-02-23T18:55:54.303Z,20,GRT,1.3,0.13,-26.13,EUR
default,1599661,GRT-EUR,SELL,2021-02-23T22:23:35.439Z,20,GRT,1.37,0.137,27.263,EUR
default,1600285,GRT-EUR,SELL,2021-02-23T23:14:40.071Z,20,GRT,1.38,0.138,27.462,EUR
default,1600796,GRT-EUR,SELL,2021-02-23T23:59:42.378Z,20,GRT,1.4,0.14,27.86,EUR
default,1604173,GRT-EUR,SELL,2021-02-24T03:07:46.459Z,75,GRT,1.61,0.60375,120.14625,EUR
default,1619906,GRT-EUR,BUY,2021-02-24T15:12:21.224Z,29,GRT,1.52,0.2204,-44.3004,EUR
default,1620234,GRT-EUR,BUY,2021-02-24T15:23:48.589Z,30,GRT,1.48,0.222,-44.622,EUR
default,1620435,GRT-EUR,SELL,2021-02-24T15:32:18.916Z,30,GRT,1.54,0.231,45.969,EUR
default,1620903,GRT-EUR,SELL,2021-02-24T15:50:28.786Z,29,GRT,1.58,0.2291,45.5909,EUR
default,1624339,GRT-EUR,BUY,2021-02-24T20:31:43.221Z,31,GRT,1.51,0.23405,-47.04405,EUR
default,1624900,GRT-EUR,BUY,2021-02-24T21:17:46.392Z,29.9,GRT,1.5,0.22425,-45.07425,EUR
default,1627497,GRT-EUR,SELL,2021-02-25T00:17:33.744Z,31,GRT,1.58,0.2449,48.7351,EUR
default,1627501,GRT-EUR,SELL,2021-02-25T00:17:35.526Z,29.9,GRT,1.58,0.23621,47.00579,EUR
default,1631596,GRT-EUR,BUY,2021-02-25T08:45:02.786Z,20,GRT,1.5684,0.15684,-31.52484,EUR
default,1634725,GRT-EUR,SELL,2021-02-25T13:11:12.984Z,20,GRT,1.6229,0.16229,32.29571,EUR
default,1638375,GRT-EUR,BUY,2021-02-25T16:50:10.941Z,20,GRT,1.56,0.156,-31.356,EUR
default,1640916,GRT-EUR,BUY,2021-02-25T20:10:04.524Z,20,GRT,1.5,0.15,-30.15,EUR
default,1642734,GRT-EUR,BUY,2021-02-25T22:10:13.638Z,20,GRT,1.44,0.144,-28.944,EUR
default,1646395,GRT-EUR,BUY,2021-02-26T00:31:06.527Z,20,GRT,1.36,0.136,-27.336,EUR
default,1655138,GRT-EUR,BUY,2021-02-26T07:41:09.696Z,20,GRT,1.3,0.13,-26.13,EUR
default,1656213,GRT-EUR,SELL,2021-02-26T08:15:26.237Z,20,GRT,1.36,0.136,27.064,EUR
default,1662098,GRT-EUR,SELL,2021-02-26T15:38:45.645Z,20,GRT,1.5,0.15,29.85,EUR
default,1662469,GRT-EUR,SELL,2021-02-26T15:47:40.205Z,20,GRT,1.52,0.152,30.248,EUR
default,1676237,GRT-EUR,BUY,2021-02-27T22:26:42.652Z,20,GRT,1.4,0.14,-28.14,EUR
default,1678415,GRT-EUR,BUY,2021-02-28T03:10:49.069Z,20,GRT,1.3,0.13,-26.13,EUR
default,1693388,GRT-EUR,SELL,2021-03-01T00:08:59.023Z,20,GRT,1.36,0.136,27.064,EUR
default,1702765,GRT-EUR,SELL,2021-03-01T15:55:16.489Z,20,GRT,1.463,0.1463,29.1137,EUR
default,1710839,GRT-EUR,SELL,2021-03-02T00:00:18.071Z,20,GRT,1.6,0.16,31.84,EUR
default,1718393,GRT-EUR,SELL,2021-03-02T11:54:04.270Z,20,GRT,1.63,0.163,32.437,EUR
default,1763136,GRT-EUR,BUY,2021-03-05T10:20:33.185Z,30,GRT,1.47,0.2205,-44.3205,EUR
default,1764457,GRT-EUR,SELL,2021-03-05T13:47:12.800Z,29.99,GRT,1.54,0.230923,45.953677,EUR
default,1764458,GRT-EUR,SELL,2021-03-05T13:47:23.547Z,0.01,GRT,1.54,0.000077,0.015323,EUR
default,1770738,GRT-EUR,BUY,2021-03-06T12:37:03.193Z,30,GRT,1.5,0.225,-45.225,EUR
default,1775567,GRT-EUR,SELL,2021-03-07T09:39:53.830Z,30,GRT,1.56,0.234,46.566,EUR
default,1797240,GRT-EUR,SELL,2021-03-09T10:45:18.576Z,59.36,GRT,1.73,0.513464,102.179336,EUR
default,1804391,GRT-EUR,SELL,2021-03-09T14:32:11.308Z,40.13,GRT,1.85,0.3712025,73.8692975,EUR
default,1840837,GRT-EUR,BUY,2021-03-12T15:01:10.163Z,74.32,GRT,1.5,0.5574,-112.0374,EUR
default,1840838,GRT-EUR,BUY,2021-03-12T15:01:11.114Z,0.8,GRT,1.5,0.006,-1.206,EUR
